trade_no,entry_time_utc,exit_time_utc,symbol,direction,regime,score,entry,stop,leverage,risk_pct_price,r_multiple,account_pct,outcome,mfe_r,mae_r,equity,drawdown_pct,notes
69,2025-10-05 02:15,2025-10-05 04:45,BTCUSDT,long,trend_up,10.65,122821.7,122061.10900000001,30,0.6192643482381255,1.700814458756412,0.5952850605647442,tp_final,4.017402256929234,0.04562241730443529,107.41893507372689,0.0,BTCUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / 突破短结构高点 / 突破前日高点 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
70,2025-10-06 03:00,2025-10-07 03:00,BTCUSDT,long,trend_up,7.95,123965.3,122940.66671428572,20,0.826548466154871,1.224542203461502,0.42858977121152575,time_after_tp2,2.1892710604616314,0.7294317005122346,107.87932164179722,0.0,BTCUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / 15m回踩EMA20/VWAP后收回 / CVD多周期顺势 / 目标RR>=2
71,2025-10-07 03:15,2025-10-07 06:15,ETHUSDT,long,trend_up,7.300000000000001,4681.79,4657.2526,30,0.5241029606197665,0.3698582368140165,0.1294503828849058,breakeven_or_trailing_stop,1.9912460162853176,0.27590535264532845,108.01897183671616,0.0,ETHUSDT:4H多头 / 1H趋势状态确认 / 15m在日内VWAP上方且VWAP上行 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
72,2025-10-08 05:45,2025-10-08 10:45,XRPUSDT,short,trend_down,7.95,2.8538,2.876922142857143,20,0.8102229608642115,-1.0987382533749344,-0.38455838868122705,stop,0.5622316270736107,1.0076920700627046,107.60357581915086,-0.38455838868122205,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
73,2025-10-09 04:45,2025-10-09 16:45,XRPUSDT,short,trend_down,7.95,2.8446,2.8668906696830048,20,0.7836135021797431,1.727908854585242,0.6047680991048346,tp_final,3.3466917351916483,0.031403273654619916,108.25432791920117,0.0,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
74,2025-10-10 02:30,2025-10-10 03:15,XRPUSDT,short,trend_down,7.65,2.8004,2.8182011428571427,30,0.6356642928561264,-1.125852593733949,-0.39404840780688216,stop,0.6179378531073229,1.1853171545968155,107.82775346365352,-0.39404840780687955,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
75,2025-10-17 05:45,2025-10-17 07:45,BTCUSDT,short,trend_down,8.9,108327.9,109246.43414285715,20,0.8479201967887826,1.7356514984511826,0.6074780244579139,tp_final,3.1250879701337366,0.1562271812277273,108.48278337021186,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
76,2025-10-22 07:15,2025-10-22 11:15,BTCUSDT,short,trend_down,8.850000000000001,107948.8,108838.57111599692,20,0.8242529013726123,0.42544241019136764,0.14890484356697867,breakeven_or_trailing_stop,1.785290589277233,0.41021785652262516,108.64431948908639,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
77,2025-10-29 08:00,2025-10-29 10:30,DOGEUSDT,short,trend_down,8.9,0.19331,0.19481915714285714,20,0.7806927437055123,-1.1024730928332762,-0.38586558249164665,stop,0.5499758616446311,1.0071847104817329,108.22509845284573,-0.38586558249165126,DOGEUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
78,2025-11-04 02:45,2025-11-04 09:00,BTCUSDT,short,trend_down,7.8500000000000005,106438.0,107351.16942857142,20,0.8579355385965711,1.7367529011202105,0.6078635153920737,tp_final,3.060111204523801,0.8868014791810006,108.88295934083774,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
