entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-07-16T14:15:00,2025-07-16T15:00:00,long,10,118443.9,118107.29,0.2842,50,1.5685,0.549,tp3,3.989,0.596,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-17T07:30:00,2025-07-17T12:15:00,long,8.5,118531,117656.42,0.7378,20,-1.1084,-0.3879,stop,0.784,1.275,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-18T08:45:00,2025-07-18T10:15:00,long,7.5,118637.3,118329.0,0.2599,50,0.0921,0.0323,breakeven_or_trailing_stop,1.176,0.608,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-07-19T08:00:00,2025-07-19T10:30:00,short,7.5,118036.2,118357.66,0.2723,50,-1.2938,-0.4528,stop,0.411,1.287,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-20T07:45:00,2025-07-20T16:00:00,long,7.5,117984.3,117695.98,0.2444,50,1.5226,0.5329,tp3,3.025,0.982,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-21T13:00:00,2025-07-21T13:45:00,long,7.5,117937.4,117683.74,0.2151,50,1.4781,0.5173,tp3,4.485,0.0,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-22T13:45:00,2025-07-22T14:00:00,long,7.5,118135.1,117783.47,0.2977,50,-1.2688,-0.4441,stop,0.924,1.744,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-07-23T10:15:00,2025-07-23T12:45:00,long,7.5,118229.1,117752.18,0.4034,40,-1.1983,-0.4194,stop,0.81,1.005,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-07-24T13:45:00,2025-07-24T14:45:00,short,7.5,118171.2,118827.36,0.5553,30,-1.1441,-0.4004,stop,0.607,1.453,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-26T08:15:00,2025-07-26T10:30:00,long,9,117471.1,117277.23,0.165,50,1.3653,0.4778,tp3,3.913,0.269,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-27T10:00:00,2025-07-27T16:00:00,long,8.5,118076.7,117804.03,0.2309,50,1.5036,0.5263,tp3,3.984,0.831,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-28T10:45:00,2025-07-28T11:15:00,long,7.5,118757.2,118577.17,0.1516,50,-1.5277,-0.5347,stop,0.547,1.3,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
