config,scenario,trades,wins,losses,win_rate_pct,profit_factor,expectancy_r,total_r,gross_account_return_pct,net_account_return_pct,cost_drag_pct_points,avg_cost_account_pct,avg_fee_account_pct,avg_slippage_account_pct,avg_funding_account_pct,max_drawdown_pct,avg_holding_hours,avg_notional_to_equity,source_win_rate_pct,source_profit_factor,source_account_return_pct,source_max_drawdown_pct,fee_bps_per_side,slippage_bps_per_side,funding_bps_per_8h,scenario_note
v3_core4_quality,high_slippage,135,72,63,53.333333333333336,0.8194855484067366,-0.10258798629808492,-13.849378150241465,12.010893061990405,-4.847282352584512,16.858175414574916,0.12487537344129568,0.054879976053727554,0.06585597126447304,0.004139426123095081,6.189388406580248,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,5.0,6.0,1.0,Base fee with doubled slippage.
v3_core4_quality,fee_1p5x,135,72,63,53.333333333333336,0.8448988642919171,-0.08690799313987704,-11.7325790738834,12.010893061990405,-4.106402675859192,16.117295737849595,0.11938737583592293,0.08231996408059132,0.03292798563223652,0.004139426123095081,6.05021640644528,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_core4_quality,funding_3x,135,78,57,57.77777777777777,0.9395885447517871,-0.032161890909381034,-4.3418552727664395,12.010893061990405,-1.5196493454682543,13.53054240745866,0.10022624005524931,0.054879976053727554,0.03292798563223652,0.012418278369285241,5.608033375536995,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_core4_quality,combined_stress,135,69,66,51.11111111111111,0.6696590427264831,-0.2046418156496676,-27.626645112705127,12.010893061990405,-9.669325789446798,21.680218851437203,0.16059421371434962,0.08231996408059132,0.06585597126447304,0.012418278369285241,9.324083373729298,6.437037037037037,0.5487997605372754,62.96296296296296,1.6075136496989306,12.0108930619904,3.461090622155252,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
v3_core4_strict,gross_no_cost,89,51,38,57.30337078651685,1.1368020509448822,0.06629462520212925,5.900221642989504,2.065077575046327,2.065077575046327,0.0,0.0,0.0,0.0,0.0,2.3849145618823995,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_core4_strict,maker_low_cost,89,51,38,57.30337078651685,0.864403016094833,-0.07404965121798371,-6.59041895840055,2.065077575046327,-2.3066466354401918,4.371724210486519,0.04912049674703952,0.023630369538955438,0.023630369538955438,0.0018597576691286497,3.542088011343064,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_core4_strict,base_taker_cost,89,46,43,51.68539325842697,0.6493356226307919,-0.2143939276380965,-19.08105955979059,2.065077575046327,-6.6783708459267075,8.743448420973035,0.09824099349407903,0.0590759238473886,0.035445554308433144,0.0037195153382572994,7.089618076339556,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
v3_core4_strict,high_slippage,89,39,50,43.82022471910113,0.527093714254849,-0.3156669399479055,-28.09435765536359,2.065077575046327,-9.833025179377257,11.898102754423585,0.13368654780251218,0.0590759238473886,0.07089110861686629,0.0037195153382572994,9.575358625597822,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,5.0,6.0,1.0,Base fee with doubled slippage.
v3_core4_strict,fee_1p5x,89,40,49,44.9438202247191,0.5455127854991386,-0.2987881045629374,-26.59214130610143,2.065077575046327,-9.3072494571355,11.372327032181827,0.12777895541777332,0.08861388577108288,0.035445554308433144,0.0037195153382572994,9.165672730338379,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_core4_strict,funding_3x,89,46,43,51.68539325842697,0.6200900944860338,-0.23564830099956682,-20.97269878896145,2.065077575046327,-7.340444576136506,9.405522151182833,0.10568002417059365,0.0590759238473886,0.035445554308433144,0.011158546014771899,7.582406618522657,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_core4_strict,combined_stress,89,34,55,38.20224719101123,0.4251061458359017,-0.42131549023421677,-37.497078630845294,2.065077575046327,-13.123977520795851,15.189055095842178,0.1706635404027211,0.08861388577108288,0.07089110861686629,0.011158546014771899,12.371221727503867,5.160112359550562,0.5907592384738859,57.30337078651685,1.1368020509448817,2.065077575046327,2.408961492331405,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
v3_pool8_frequency,gross_no_cost,178,99,79,55.61797752808989,1.229277472168646,0.11486319172366108,20.445648126811673,7.155976844384086,7.155976844384086,0.0,0.0,0.0,0.0,0.0,4.018546638526162,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_pool8_frequency,maker_low_cost,178,98,80,55.0561797752809,0.9736625627111275,-0.014747654084727248,-2.62508242708145,7.155976844384086,-0.918778849478505,8.074755693862592,0.04536379603293591,0.021781260014294895,0.021781260014294895,0.0018012760043461167,5.588101306424888,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_pool8_frequency,base_taker_cost,178,95,83,53.37078651685393,0.7675394015927831,-0.1443584998931155,-25.69581298097456,7.155976844384086,-8.993534543341097,16.149511387725184,0.09072759206587182,0.05445315003573725,0.03267189002144234,0.0036025520086922333,9.580629279910877,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
v3_pool8_frequency,high_slippage,178,92,86,51.68539325842697,0.6444342697466743,-0.23770675709723643,-42.31180276330809,7.155976844384086,-14.80913096715783,21.965107811541916,0.12339948208731416,0.05445315003573725,0.06534378004288469,0.0036025520086922333,14.60226598521375,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,5.0,6.0,1.0,Base fee with doubled slippage.
v3_pool8_frequency,fee_1p5x,178,92,86,51.68539325842697,0.6636818104332523,-0.222148714229883,-39.542471132919175,7.155976844384086,-13.839864896521714,20.9958417409058,0.11795416708374044,0.08167972505360586,0.03267189002144234,0.0036025520086922333,13.785000138773837,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_pool8_frequency,funding_3x,178,94,84,52.80898876404494,0.7377591875072727,-0.16494451137135685,-29.36012302410152,7.155976844384086,-10.276043058435532,17.43201990281962,0.09793269608325629,0.05445315003573725,0.03267189002144234,0.0108076560260767,10.6935439524517,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_pool8_frequency,combined_stress,178,83,95,46.62921348314607,0.5332164139867901,-0.33608298291224536,-59.82277095837968,7.155976844384086,-20.93796983543289,28.093946679816977,0.15783116112256726,0.08167972505360586,0.06534378004288469,0.0108076560260767,19.577394148935205,5.568820224719101,0.5445315003573724,55.61797752808989,1.2292774721686455,7.1559768443840825,4.0850569814217215,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
